playerId,name,position,team,birthDate,weight,height,nationality,shootsCatches,primaryNumber,primaryPosition
8478421,A.J. Greer,L,BOS,1996-12-14,210.0,"6' 3""",CAN,L,24,L
8477180,Aaron Dell,G,SJS,1989-05-04,205.0,"6' 0""",CAN,L,30,G
8465992,Aaron Downey,R,DET,1974-08-27,215.0,"6' 1""",CAN,R,44,R
8477932,Aaron Ekblad,D,FLA,1996-02-07,220.0,"6' 4""",CAN,R,5,D
8471451,Aaron Gagnon,C,WPG,1986-04-24,186.0,"5' 11""",CAN,R,21,C
8469534,Aaron Johnson,D,BOS,1983-04-30,204.0,"6' 1""",CAN,L,72,D
8471004,Aaron MacKenzie,D,COL,1981-03-07,195.0,"6' 1""",CAN,L,34,D
8474604,Aaron Ness,D,ARI,1990-05-18,184.0,"5' 10""",USA,L,55,D
8474030,Aaron Palushaj,R,CAR,1989-09-07,187.0,"6' 0""",USA,R,37,R
8470310,Aaron Rome,D,DAL,1983-09-27,220.0,"6' 1""",CAN,L,27,D
8475619,Aaron Volpatti,L,WSH,1985-05-30,215.0,"6' 0""",CAN,L,17,L
8469672,Aaron Voros,L,ANA,1981-07-02,210.0,"6' 2""",CAN,L,34,L
8458519,Aaron Ward,D,ANA,1973-01-17,209.0,"6' 2""",CAN,R,4,D
8482691,Aatu Raty,C,VAN,2002-11-14,190.0,"6' 2""",FIN,L,16,C
8475332,Adam Almquist,D,DET,1991-02-27,174.0,"5' 11""",SWE,L,53,D
8481550,Adam Beckman,L,MIN,2001-05-10,182.0,"6' 2""",CAN,L,53,L
8480871,Adam Boqvist,D,CBJ,2000-08-15,179.0,"5' 11""",SWE,R,27,D
8478996,Adam Brooks,C,WPG,1996-05-06,185.0,"5' 10""",CAN,L,77,C
8470063,Adam Burish,R,S.J,1983-01-06,195.0,"6' 1""",USA,R,37,R
8476431,Adam Clendening,D,CBJ,1992-10-26,196.0,"6' 0""",USA,R,6,D
8471490,Adam Cracknell,R,ANA,,,,,,,
8477454,Adam Erne,L,DET,1995-04-20,214.0,"6' 1""",USA,L,73,L
8456283,Adam Foote,D,COL,1971-07-10,220.0,"6' 2""",CAN,R,52,D
8479323,Adam Fox,D,NYR,1998-02-17,181.0,"5' 11""",USA,R,23,D
8478874,Adam Gaudette,C,OTT,1996-10-03,170.0,"6' 1""",USA,R,88,C
8467925,Adam Hall,R,PHI,1980-08-14,212.0,"6' 2""",USA,R,18,R
8474641,Adam Henrique,C,ANA,1990-02-06,197.0,"6' 0""",CAN,L,14,C
8478903,Adam Huska,G,NYR,1997-05-12,214.0,"6' 4""",SVK,L,32,G
8480341,Adam Johnson,C,PIT,1994-06-22,174.0,"6' 0""",USA,L,47,C
8476457,Adam Larsson,D,SEA,1992-11-12,208.0,"6' 3""",SWE,R,6,D
8476392,Adam Lowry,C,WPG,1993-03-29,210.0,"6' 5""",USA,L,17,C
8466216,Adam Mair,C,N.J,1979-02-15,208.0,"6' 1""",CAN,R,11,C
8471717,Adam McQuaid,D,CBJ,1986-10-12,210.0,"6' 4""",CAN,R,54,D
8471385,Adam Pardy,D,NSH,1984-03-29,227.0,"6' 4""",CAN,L,5,D
8476522,Adam Payerl,C,PIT,1991-03-04,218.0,"6' 3""",CAN,R,45,C
8476917,Adam Pelech,D,NYI,1994-08-16,218.0,"6' 3""",CAN,L,3,D
8482197,Adam Raska,R,SJS,2001-09-25,178.0,"5' 10""",CZE,R,57,R
8480008,Adam Ruzicka,C,CGY,1999-05-11,202.0,"6' 4""",SVK,L,63,C
8479530,Adam Werner,G,COL,1997-05-02,205.0,"6' 5""",SWE,L,30,G
8476330,Adam Wilcox,G,BUF,1992-11-26,189.0,"6' 0""",USA,L,32,G
8478499,Adin Hill,G,VGK,1996-05-11,202.0,"6' 6""",CAN,L,31,G
8459053,Adrian Aucoin,D,CBJ,1973-07-03,215.0,"6' 2""",CAN,R,33,D
8477960,Adrian Kempe,R,LAK,1996-09-13,201.0,"6' 2""",SWE,L,9,C
