playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2021,Ilya Lyubushkin,TOR,D,other,77,1759.0,31.0,5.75,0.59,0.45,0.32,0.49,0.35,0.48,180.0,0.74,0.07,0.05,0.29,0.04,0.29,0.26,0.06,0.07,0.06,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.07,0.01,0.01,0.01,31.0,4.0,6.0,4.0,17.0,1.0,9.0,5.0,16.0,0.0,0.0,6966.0,2.0,2.0,1.0,4.0,12.01,6.06,5.4,6.06,5.4,11.0,6.0,1.0,18.0,6.0,3.0,3.0,6.0,4.0,7.0,0.26,0.58,5.22,1.0,1.0,4.0,18.0,17.0,17.0,0.16,1.06,1.06,5.17,5.17,5.07,22.07,4.19,3.05,4.19,3.05,20.0,11.0,8.0,39.0,2.0,3.0,0.0,17.0,7.0,7.0,0.85,0.74,2.6,2.0,0.0,0.0,39.0,31.0,31.0,0.52,0.78,0.78,3.93,3.93,2.78,15.51,18.76,138.0,146.0,0.0,0.1,0.0,2.0,0.0,2.0
8480950,2021,Ilya Lyubushkin,TOR,D,all,77,80654.0,1788.0,11.65,0.42,0.51,0.43,0.5,0.43,0.51,360.0,51.47,1.91,2.99,14.42,1.77,31.36,22.54,1.85,1.91,1.84,5.0,8.0,54.0,21.0,29.0,104.0,15.0,2.0,0.0,1.0,10.0,2.0,26.0,35.0,52.0,73.0,24.0,51.0,0.0,187.0,15.0,37.0,73.0,2.0,0.0,1.65,0.26,0.0,2.0,0.0,0.0,103.01,75.0,74.08,29.0,0.6,0.0,0.15,2.35,2.34,2.27,1788.0,115.0,287.0,254.0,1132.0,178.0,264.0,208.0,1138.0,0.0,0.0,199043.0,51.0,23.0,10.0,92.0,563.07,49.05,47.39,49.4,47.74,553.0,232.0,248.0,1033.0,52.0,32.0,7.0,597.0,152.0,36.0,17.15,18.76,13.14,23.0,17.0,12.0,1031.01,785.0,785.03,7.56,6.4,6.4,50.22,50.66,49.98,749.21,67.52,64.21,68.04,64.72,774.0,265.0,311.0,1350.0,79.0,64.0,8.0,790.0,183.0,66.0,22.58,21.45,23.49,27.0,24.0,28.0,1367.66,1039.0,1049.98,11.96,12.62,12.57,66.91,67.46,65.22,167.08,159.7,3052.0,2994.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on5,77,70283.0,1568.0,11.65,0.48,0.52,0.48,0.5,0.48,0.5,340.0,49.7,1.79,2.84,13.87,1.66,30.43,21.41,1.74,1.79,1.73,5.0,6.0,51.0,21.0,28.0,100.0,12.0,1.0,0.0,0.0,9.0,2.0,25.0,35.0,50.0,71.0,20.0,43.0,0.0,168.0,12.0,33.0,70.0,2.0,0.0,1.54,0.26,0.0,1.0,0.0,0.0,99.01,72.0,71.08,25.0,0.56,0.0,0.09,2.26,2.25,2.19,1568.0,105.0,202.0,240.0,1021.0,167.0,220.0,173.0,1008.0,0.0,0.0,156322.0,43.0,17.0,7.0,70.0,527.18,40.85,39.86,41.19,40.21,516.0,219.0,244.0,979.0,44.0,29.0,4.0,568.0,140.0,27.0,16.28,17.17,7.39,21.0,15.0,8.0,977.01,735.0,735.03,7.11,5.34,5.34,42.61,43.05,42.48,569.87,44.95,43.28,45.48,43.79,596.0,193.0,252.0,1041.0,52.0,43.0,6.0,606.0,146.0,37.0,17.01,17.13,10.81,19.0,21.0,12.0,1058.67,789.0,799.98,7.67,9.25,9.2,43.42,43.96,43.27,108.34,101.78,2303.0,2322.0,7.21,0.38,133.0,16.0,110.0,14.0
8480950,2021,Ilya Lyubushkin,TOR,D,4on5,77,8446.0,176.0,8.72,0.1,0.17,0.11,0.15,0.13,0.16,218.0,1.03,0.05,0.1,0.25,0.07,0.64,0.88,0.05,0.05,0.05,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,0.0,15.0,2.0,4.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.02,0.0,0.0,0.07,0.07,0.07,176.0,4.0,79.0,9.0,84.0,8.0,32.0,28.0,108.0,0.0,0.0,12122.0,6.0,0.0,0.0,0.0,23.23,2.12,2.12,2.12,2.12,25.0,7.0,3.0,35.0,2.0,0.0,0.0,22.0,8.0,2.0,0.59,1.0,0.53,1.0,1.0,0.0,35.0,32.0,32.0,0.28,0.0,0.0,2.4,2.4,2.39,157.27,18.39,17.88,18.39,17.88,158.0,61.0,51.0,270.0,25.0,18.0,2.0,167.0,30.0,22.0,4.72,3.58,10.08,6.0,3.0,16.0,270.0,219.0,219.0,3.77,2.59,2.59,19.57,19.57,19.17,4.77,23.73,57.0,328.0,0.49,0.03,3.0,1.0,3.0,1.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on4,77,166.0,13.0,1.3,1.0,0.86,1.0,0.8,1.0,0.76,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,10.0,2.0,3.0,2.0,6.0,0.0,0.0,4227.0,0.0,0.0,0.0,2.0,0.66,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,0.98,93.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8476952,2021,Dominic Toninato,WPG,C,other,77,309.0,7.0,1.83,0.32,0.49,0.06,0.57,0.08,0.52,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,4.0,1.0,0.0,2301.0,0.0,0.0,0.0,2.0,0.65,0.87,0.87,0.87,0.87,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.87,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.87,0.87,0.87,8.3,1.87,1.62,1.87,1.62,8.0,3.0,6.0,17.0,1.0,2.0,1.0,5.0,3.0,3.0,0.32,0.38,1.17,0.0,0.0,1.0,17.0,11.0,11.0,0.25,0.7,0.7,1.42,1.42,1.19,6.29,6.64,45.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0
8476952,2021,Dominic Toninato,WPG,C,all,77,38801.0,962.0,7.34,0.36,0.51,0.36,0.51,0.36,0.51,796.0,48.28,6.85,3.49,9.91,1.56,22.74,19.45,6.67,6.93,6.75,6.0,1.0,44.0,20.0,24.0,88.0,14.0,7.0,1.0,0.0,9.0,0.0,16.0,31.0,37.0,57.0,11.0,22.0,87.0,92.0,11.0,10.0,34.0,19.0,11.0,1.32,2.41,3.12,1.0,4.0,2.0,89.82,64.0,64.83,9.0,0.75,0.19,2.24,5.37,5.39,5.35,962.0,32.0,112.0,102.0,716.0,141.0,136.0,111.0,574.0,87.0,118.0,241615.0,22.0,10.0,5.0,32.0,207.57,20.61,20.3,20.74,20.43,214.0,73.0,107.0,394.0,20.0,13.0,0.0,208.0,57.0,22.0,5.92,7.45,7.23,5.0,7.0,8.0,401.81,287.0,291.14,2.85,3.21,3.21,20.24,20.36,20.25,372.15,36.42,34.73,36.69,34.95,381.0,136.0,177.0,694.0,36.0,32.0,6.0,381.0,99.0,37.0,10.92,12.08,13.41,8.0,12.0,16.0,693.1,517.0,517.36,6.49,6.78,6.78,36.13,36.29,35.22,235.39,223.36,4033.0,3827.0,0.0,0.0,0.0,0.0,0.0,0.0
8476952,2021,Dominic Toninato,WPG,C,5on5,77,31739.0,757.0,7.34,0.44,0.51,0.43,0.5,0.42,0.51,831.0,43.18,5.77,3.11,9.17,1.36,21.45,17.13,5.63,5.85,5.7,3.0,0.0,39.0,19.0,21.0,79.0,9.0,6.0,0.0,0.0,8.0,0.0,15.0,29.0,33.0,52.0,10.0,20.0,80.0,90.0,9.0,9.0,32.0,17.0,9.0,1.22,2.03,2.51,1.0,3.0,2.0,80.82,58.0,58.83,8.0,0.66,0.0,1.64,4.79,4.81,4.78,757.0,30.0,44.0,91.0,592.0,129.0,95.0,81.0,452.0,80.0,104.0,197860.0,20.0,6.0,3.0,20.0,185.64,15.95,15.68,16.09,15.81,189.0,70.0,103.0,362.0,14.0,11.0,0.0,193.0,53.0,13.0,5.49,6.78,3.68,5.0,5.0,4.0,369.81,259.0,263.14,2.53,2.62,2.62,15.87,15.99,15.88,255.57,20.07,19.37,20.33,19.59,253.0,103.0,124.0,480.0,17.0,18.0,1.0,272.0,67.0,17.0,7.86,8.26,3.95,6.0,7.0,4.0,479.1,356.0,356.36,3.58,2.51,2.51,21.14,21.3,21.0,157.52,153.28,3131.0,3105.0,0.95,1.1,24.0,19.0,20.0,17.0
8476952,2021,Dominic Toninato,WPG,C,4on5,77,6545.0,186.0,6.23,0.16,0.17,0.11,0.16,0.12,0.17,240.0,4.17,0.68,0.3,0.45,0.11,1.17,2.29,0.66,0.68,0.66,3.0,0.0,4.0,1.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,0.09,0.38,0.2,0.0,1.0,0.0,8.0,5.0,5.0,1.0,0.07,0.19,0.19,0.55,0.55,0.55,186.0,1.0,67.0,8.0,110.0,10.0,37.0,29.0,110.0,4.0,2.0,12045.0,2.0,0.0,0.0,0.0,16.8,2.76,2.74,2.76,2.74,20.0,1.0,4.0,25.0,5.0,1.0,0.0,11.0,4.0,6.0,0.38,0.67,1.71,0.0,2.0,3.0,25.0,21.0,21.0,0.23,0.19,0.19,2.8,2.8,2.79,108.28,14.48,13.74,14.48,13.74,120.0,30.0,47.0,197.0,18.0,12.0,4.0,104.0,29.0,17.0,2.75,3.44,8.29,2.0,5.0,11.0,197.0,150.0,150.0,2.65,3.57,3.57,13.57,13.57,13.02,5.76,28.08,64.0,346.0,0.01,0.1,1.0,4.0,1.0,2.0
8476952,2021,Dominic Toninato,WPG,C,5on4,77,208.0,12.0,1.2,1.0,0.9,1.0,0.9,1.0,0.9,112.0,0.94,0.41,0.08,0.29,0.09,0.11,0.02,0.39,0.41,0.39,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.03,0.0,0.41,0.03,0.03,0.03,12.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,8.0,2.0,2.0,3921.0,0.0,0.0,0.0,3.0,4.46,1.03,1.01,1.03,1.01,5.0,1.0,0.0,6.0,1.0,1.0,0.0,4.0,0.0,2.0,0.05,0.0,0.97,0.0,0.0,1.0,6.0,6.0,6.0,0.08,0.41,0.41,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,0.81,104.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
